position	position_morg	local_ancestry
22049	9.508e-07	0.313672
37317	2.4776e-06	0.313529
79153	6.6612e-06	0.308373
104362	9.1821e-06	0.313492
108273	9.5732e-06	0.312866
109021	9.648e-06	0.308082
160015	1.47474e-05	0.311575
167801	1.5526e-05	0.307713
172827	1.60286e-05	0.315857
213230	2.00689e-05	0.315616
287978	2.75437e-05	0.318086
292653	2.80112e-05	0.321333
293569	2.81028e-05	0.316558
306369	2.93828e-05	0.317602
315038	3.02497e-05	0.316263
325685	3.13144e-05	0.314402
330210	3.17669e-05	0.318133
333684	3.21143e-05	0.317669
340207	3.27666e-05	0.316221
340467	3.27926e-05	0.31946
345383	3.32842e-05	0.31786
348039	3.35498e-05	0.312999
354960	3.42419e-05	0.320218
357301	3.4476e-05	0.321109
359588	3.47047e-05	0.320848
360049	3.47508e-05	0.32084
365847	3.53306e-05	0.321517
365850	3.53309e-05	0.321215
384793	3.72252e-05	0.321044
388327	3.75786e-05	0.32029
390531	3.7799e-05	0.321727
398007	3.85466e-05	0.320816
424189	4.11648e-05	0.320409
425030	4.12489e-05	0.324211
427632	4.15091e-05	0.324117
432627	4.20086e-05	0.323521
436377	4.23836e-05	0.32289
458107	4.45566e-05	0.32323
458113	4.45572e-05	0.323409
467044	4.54503e-05	0.32305
483053	4.70512e-05	0.321874
506164	4.93623e-05	0.32068
509002	4.96461e-05	0.319915
509311	4.9677e-05	0.320133
509557	4.97016e-05	0.31578
509715	4.97174e-05	0.316409
510633	4.98092e-05	0.319206
517582	5.05041e-05	0.318562
523152	5.10611e-05	0.317986
539986	5.27445e-05	0.317652
547275	5.34734e-05	0.318903
551054	5.38513e-05	0.317307
572335	5.59794e-05	0.318902
576653	5.64112e-05	0.318903
588348	5.75807e-05	0.315296
589049	5.76508e-05	0.313084
590077	5.77536e-05	0.312091
600898	6.02241e-05	0.309295
631763	8.8951e-05	0.29539
646966	9.96255e-05	0.299233
659477	0.000106683	0.302144
659779	0.000106834	0.301574
684734	0.000116144	0.300687
698303	0.000118605	0.30469
703395	0.00011921	0.300205
722095	0.000123769	0.298668
741686	0.000132056	0.29893
749114	0.000136197	0.297608
754519	0.000139564	0.297759
774831	0.000154813	0.292906
775234	0.000155156	0.291456
796483	0.000175605	0.287789
801866	0.000179342	0.287703
817254	0.000180881	0.286987
858040	0.000184959	0.287045
866239	0.000185779	0.287238
899232	0.000189078	0.286924
907056	0.000189861	0.286968
918992	0.000191054	0.286762
921414	0.000191297	0.286811
927242	0.000191879	0.286291
929564	0.000192112	0.286962
931596	0.000192315	0.286727
950581	0.000194213	0.286537
956467	0.000194802	0.286499
957771	0.000194932	0.285795
967125	0.000195868	0.286672
969675	0.000196123	0.286158
992514	0.000198407	0.28791
993118	0.000198467	0.288531
1011447	0.0002003	0.287433
1039140	0.000203069	0.288629
1042514	0.000203407	0.287444
1066921	0.000205847	0.289013
1073735	0.000206529	0.288685
1075865	0.000206742	0.289738
1100423	0.000209198	0.289759
1119163	0.000211072	0.289732
1126517	0.000211807	0.290606
1130544	0.00021221	0.292798
1132115	0.000212367	0.291771
1139254	0.000213081	0.29228
1143678	0.000213523	0.292289
1145447	0.0002137	0.293591
1171673	0.000216323	0.294342
1183397	0.000217495	0.293943
1200353	0.000219191	0.293903
1209017	0.000220057	0.294406
1247661	0.000223921	0.299041
1254796	0.000224635	0.298718
1255927	0.000224748	0.292948
1257013	0.000224857	0.297012
1269288	0.000226084	0.29952
1284829	0.000227638	0.300386
1291312	0.000228286	0.297568
1308340	0.000229989	0.301306
1331051	0.00023226	0.302877
1334210	0.000232576	0.301358
1334939	0.000232649	0.304276
1341172	0.000233272	0.297304
1351102	0.000234265	0.302835
1365827	0.000235738	0.303861
1397018	0.000238857	0.304521
1442137	0.000243369	0.304528
1450314	0.000244187	0.3047
1472751	0.00024643	0.321617
1473321	0.000246487	0.321361
1483919	0.000247547	0.322779
1499016	0.000249057	0.32142
1515489	0.000250704	0.322779
1525655	0.000251721	0.322422
1529944	0.00025215	0.322184
1552263	0.000254382	0.326436
1554558	0.000254611	0.325767
1584079	0.000257563	0.325918
1607628	0.000267844	0.326548
1610508	0.000270746	0.327847
1619221	0.000278983	0.328678
1635058	0.000292058	0.329357
1652481	0.000303524	0.329234
1663743	0.000309326	0.331223
1675195	0.000313892	0.328415
1737345	0.000330138	0.331439
1744719	0.000333913	0.32915
1750384	0.000337185	0.329639
1750876	0.000337483	0.333871
1761663	0.000344656	0.331588
1828867	0.000407081	0.331448
1860168	0.000427056	0.331776
1890635	0.000437504	0.331624
1896909	0.000438506	0.331575
1978976	0.000478204	0.330159
2011751	0.00052338	0.327852
2016411	0.000532222	0.32759
