position	position_morg	local_ancestry
10100	0.000102	0.458901
15399	0.00020998	0.469776
21213	0.00033424	0.419065
25744	0.00044912	0.363639
30137	0.00055186	0.410757
35454	0.00066094	0.401805
40193	0.0007648	0.354549
45925	0.0008833	0.400758
50417	0.00099164	0.400132
56640	0.00112444	0.3656
60010	0.00122464	0.3855
66022	0.00134508	0.392703
70514	0.00145536	0.371664
76068	0.00157672	0.412817
80905	0.00169482	0.441416
85526	0.00180534	0.368711
90453	0.0019144	0.414051
95210	0.0020186	0.454894
101688	0.00215236	0.443958
106051	0.00227338	0.432389
110436	0.0023821	0.424061
115723	0.00249656	0.423419
120002	0.0025966	0.442007
125052	0.00269764	0.421702
130534	0.00280832	0.401929
136091	0.00293014	0.389145
140593	0.003042	0.352537
145814	0.00315828	0.330115
151124	0.00328076	0.316564
155653	0.00339382	0.318753
160842	0.00351066	0.319356
165352	0.0036177	0.317958
171132	0.00374034	0.313954
175452	0.00384938	0.347367
180579	0.00396096	0.30629
185094	0.00406284	0.296018
190530	0.00417344	0.203502
195084	0.00427512	0.176403
200763	0.00439038	0.168347
205381	0.004498	0.201232
210600	0.00461	0.137491
216404	0.00473808	0.128971
220745	0.00485298	0.0850681
225200	0.00495698	0.108384
230514	0.00506726	0.0804036
235204	0.00517134	0.0891647
240831	0.00528796	0.0807772
245570	0.00539936	0.0797969
250355	0.00550646	0.0910188
255178	0.00561002	0.095125
260569	0.0057214	0.113982
265270	0.0058268	0.076267
270891	0.00594462	0.0923868
275714	0.0060589	0.105495
280487	0.00616864	0.101578
286174	0.00629212	0.110428
291247	0.00641706	0.103572
297486	0.00656678	0.102816
300790	0.00668258	0.0849917
305230	0.00678718	0.0806315
310146	0.0068901	0.0889275
315541	0.00700092	0.0858091
320140	0.00710372	0.0722839
325623	0.00721618	0.0885777
330685	0.00732988	0.0987414
335358	0.00743704	0.0972884
340009	0.00753722	0.110282
346109	0.0076594	0.120444
350695	0.0077733	0.117002
356209	0.00789748	0.122399
361276	0.008023	0.146678
365557	0.00813414	0.153296
370348	0.0082411	0.179146
376030	0.0083617	0.144252
381226	0.00848622	0.152499
385330	0.00859282	0.133448
390946	0.00871174	0.181429
395972	0.00883118	0.154815
400880	0.00894878	0.133644
405056	0.0090499	0.17418
410529	0.00916048	0.158657
415349	0.00926746	0.165238
420789	0.00938324	0.142331
425006	0.00948336	0.189283
430665	0.00959666	0.159018
435778	0.00971222	0.156714
440239	0.009817	0.161186
446030	0.0099376	0.141092
451202	0.0100616	0.150732
455817	0.010178	0.141986
460037	0.0102787	0.130963
465502	0.0103888	0.15856
471146	0.0105117	0.114067
475462	0.0106209	0.108714
480877	0.0107385	0.112066
485902	0.0108565	0.116079
490490	0.0109663	0.123422
495134	0.011069	0.0987036
500768	0.0111843	0.110964
505350	0.0112913	0.0848147
510820	0.0114077	0.0775699
515050	0.0115087	0.0844213
520581	0.0116204	0.0794745
525392	0.0117282	0.0949441
530463	0.0118375	0.0925913
535257	0.0119426	0.0946712
