position	position_morg	local_ancestry
22049	9.508e-07	0.312779
37317	2.4776e-06	0.312741
79153	6.6612e-06	0.307849
104362	9.1821e-06	0.312819
108273	9.5732e-06	0.312187
109021	9.648e-06	0.307588
160015	1.47474e-05	0.310964
167801	1.5526e-05	0.307264
172827	1.60286e-05	0.315413
213230	2.00689e-05	0.315295
287978	2.75437e-05	0.317984
292653	2.80112e-05	0.321227
293569	2.81028e-05	0.316457
306369	2.93828e-05	0.317537
315038	3.02497e-05	0.316208
325685	3.13144e-05	0.314475
330210	3.17669e-05	0.318085
333684	3.21143e-05	0.317635
340207	3.27666e-05	0.316191
340467	3.27926e-05	0.319409
345383	3.32842e-05	0.317838
348039	3.35498e-05	0.313108
354960	3.42419e-05	0.320208
357301	3.4476e-05	0.321085
359588	3.47047e-05	0.320844
360049	3.47508e-05	0.320837
365847	3.53306e-05	0.321488
365850	3.53309e-05	0.32121
384793	3.72252e-05	0.321067
388327	3.75786e-05	0.320365
390531	3.7799e-05	0.321721
398007	3.85466e-05	0.320876
424189	4.11648e-05	0.320546
425030	4.12489e-05	0.324245
427632	4.15091e-05	0.324155
432627	4.20086e-05	0.323584
436377	4.23836e-05	0.322964
458107	4.45566e-05	0.323314
458113	4.45572e-05	0.32349
467044	4.54503e-05	0.323138
483053	4.70512e-05	0.321972
506164	4.93623e-05	0.320784
509002	4.96461e-05	0.320017
509311	4.9677e-05	0.320235
509557	4.97016e-05	0.315873
509715	4.97174e-05	0.316506
510633	4.98092e-05	0.319307
517582	5.05041e-05	0.318701
523152	5.10611e-05	0.318093
539986	5.27445e-05	0.317776
547275	5.34734e-05	0.319035
551054	5.38513e-05	0.31745
572335	5.59794e-05	0.319099
576653	5.64112e-05	0.319059
588348	5.75807e-05	0.315493
589049	5.76508e-05	0.313311
590077	5.77536e-05	0.312264
600898	6.02241e-05	0.3095
631763	8.8951e-05	0.295889
646966	9.96255e-05	0.299785
659477	0.000106683	0.302749
659779	0.000106834	0.302159
684734	0.000116144	0.301376
698303	0.000118605	0.305429
703395	0.00011921	0.300924
722095	0.000123769	0.299442
741686	0.000132056	0.29976
749114	0.000136197	0.298477
754519	0.000139564	0.29865
774831	0.000154813	0.293933
775234	0.000155156	0.292542
796483	0.000175605	0.289067
801866	0.000179342	0.288983
817254	0.000180881	0.288345
858040	0.000184959	0.288391
866239	0.000185779	0.28857
899232	0.000189078	0.288286
907056	0.000189861	0.288326
918992	0.000191054	0.288138
921414	0.000191297	0.288183
927242	0.000191879	0.287727
929564	0.000192112	0.288328
931596	0.000192315	0.288112
950581	0.000194213	0.28794
956467	0.000194802	0.287906
957771	0.000194932	0.287255
967125	0.000195868	0.288067
969675	0.000196123	0.287604
992514	0.000198407	0.289362
993118	0.000198467	0.289917
1011447	0.0002003	0.288883
1039140	0.000203069	0.29011
1042514	0.000203407	0.288958
1066921	0.000205847	0.290574
1073735	0.000206529	0.290192
1075865	0.000206742	0.291246
1100423	0.000209198	0.291287
1119163	0.000211072	0.29131
1126517	0.000211807	0.292161
1130544	0.00021221	0.29442
1132115	0.000212367	0.293389
1139254	0.000213081	0.293904
1143678	0.000213523	0.293848
1145447	0.0002137	0.29522
1171673	0.000216323	0.295911
1183397	0.000217495	0.295607
1200353	0.000219191	0.295545
1209017	0.000220057	0.296092
1247661	0.000223921	0.300732
1254796	0.000224635	0.300432
1255927	0.000224748	0.294639
1257013	0.000224857	0.298743
1269288	0.000226084	0.301248
1284829	0.000227638	0.302125
1291312	0.000228286	0.299293
1308340	0.000229989	0.303067
1331051	0.00023226	0.304658
1334210	0.000232576	0.303136
1334939	0.000232649	0.306059
1341172	0.000233272	0.29907
1351102	0.000234265	0.304637
1365827	0.000235738	0.305625
1397018	0.000238857	0.306367
1442137	0.000243369	0.30641
1450314	0.000244187	0.30659
1472751	0.00024643	0.323525
1473321	0.000246487	0.323269
1483919	0.000247547	0.324697
1499016	0.000249057	0.323351
1515489	0.000250704	0.324725
1525655	0.000251721	0.324375
1529944	0.00025215	0.32414
1552263	0.000254382	0.328414
1554558	0.000254611	0.327744
1584079	0.000257563	0.327921
1607628	0.000267844	0.328639
1610508	0.000270746	0.329955
1619221	0.000278983	0.330861
1635058	0.000292058	0.331648
1652481	0.000303524	0.33162
1663743	0.000309326	0.333653
1675195	0.000313892	0.330865
1737345	0.000330138	0.33403
1744719	0.000333913	0.331762
1750384	0.000337185	0.332281
1750876	0.000337483	0.336518
1761663	0.000344656	0.334295
1828867	0.000407081	0.334638
1860168	0.000427056	0.335137
1890635	0.000437504	0.335059
1896909	0.000438506	0.335006
1978976	0.000478204	0.334001
2011751	0.00052338	0.332075
2016411	0.000532222	0.331881
2017240	0.000533749	0.331608
2027714	0.000551735	0.330371
2029383	0.000554397	0.330155
2038328	0.00056767	0.330543
2089015	0.000610859	0.328759
2109099	0.000614967	0.334749
2116724	0.000617846	0.328772
2156524	0.00065294	0.326443
2236261	0.000732424	0.332689
2236948	0.000732493	0.33545
2258074	0.000734605	0.333589
2261680	0.000734966	0.339176
2283411	0.000737139	0.333362
