position	position_morg	local_ancestry
22049	9.508e-07	0.313669
37317	2.4776e-06	0.313526
79153	6.6612e-06	0.308371
104362	9.1821e-06	0.313489
108273	9.5732e-06	0.312863
109021	9.648e-06	0.30808
160015	1.47474e-05	0.311573
167801	1.5526e-05	0.307711
172827	1.60286e-05	0.315856
213230	2.00689e-05	0.315615
287978	2.75437e-05	0.318086
292653	2.80112e-05	0.321333
293569	2.81028e-05	0.316558
306369	2.93828e-05	0.317601
315038	3.02497e-05	0.316263
325685	3.13144e-05	0.314402
330210	3.17669e-05	0.318133
333684	3.21143e-05	0.317669
340207	3.27666e-05	0.316221
340467	3.27926e-05	0.31946
345383	3.32842e-05	0.31786
348039	3.35498e-05	0.313
354960	3.42419e-05	0.320219
357301	3.4476e-05	0.32111
359588	3.47047e-05	0.320848
360049	3.47508e-05	0.32084
365847	3.53306e-05	0.321517
365850	3.53309e-05	0.321215
384793	3.72252e-05	0.321044
388327	3.75786e-05	0.320291
390531	3.7799e-05	0.321727
398007	3.85466e-05	0.320816
424189	4.11648e-05	0.32041
425030	4.12489e-05	0.324211
427632	4.15091e-05	0.324117
432627	4.20086e-05	0.323521
436377	4.23836e-05	0.32289
458107	4.45566e-05	0.323231
458113	4.45572e-05	0.323409
467044	4.54503e-05	0.32305
483053	4.70512e-05	0.321875
506164	4.93623e-05	0.32068
509002	4.96461e-05	0.319915
509311	4.9677e-05	0.320133
509557	4.97016e-05	0.31578
509715	4.97174e-05	0.316409
510633	4.98092e-05	0.319206
517582	5.05041e-05	0.318563
523152	5.10611e-05	0.317987
539986	5.27445e-05	0.317653
547275	5.34734e-05	0.318904
551054	5.38513e-05	0.317307
572335	5.59794e-05	0.318903
576653	5.64112e-05	0.318904
588348	5.75807e-05	0.315296
589049	5.76508e-05	0.313085
590077	5.77536e-05	0.312092
600898	6.02241e-05	0.309296
631763	8.8951e-05	0.295392
646966	9.96255e-05	0.299235
659477	0.000106683	0.302146
659779	0.000106834	0.301576
684734	0.000116144	0.300689
698303	0.000118605	0.304693
703395	0.00011921	0.300208
722095	0.000123769	0.298671
741686	0.000132056	0.298933
749114	0.000136197	0.297611
754519	0.000139564	0.297762
774831	0.000154813	0.29291
775234	0.000155156	0.29146
796483	0.000175605	0.287794
801866	0.000179342	0.287707
817254	0.000180881	0.286992
858040	0.000184959	0.28705
866239	0.000185779	0.287243
899232	0.000189078	0.286929
907056	0.000189861	0.286973
918992	0.000191054	0.286767
921414	0.000191297	0.286815
927242	0.000191879	0.286297
929564	0.000192112	0.286966
931596	0.000192315	0.286731
950581	0.000194213	0.286542
956467	0.000194802	0.286503
