position	position_morg	local_ancestry
22049	9.508e-07	0.138253
37317	2.4776e-06	0.138253
79153	6.6612e-06	0.138253
104362	9.1821e-06	0.138253
108273	9.5732e-06	0.138253
109021	9.648e-06	0.138253
160015	1.47474e-05	0.138253
167801	1.5526e-05	0.138253
172827	1.60286e-05	0.138253
213230	2.00689e-05	0.138253
287978	2.75437e-05	0.138253
292653	2.80112e-05	0.138253
293569	2.81028e-05	0.138253
306369	2.93828e-05	0.138253
315038	3.02497e-05	0.138253
325685	3.13144e-05	0.138253
330210	3.17669e-05	0.138253
333684	3.21143e-05	0.138253
340207	3.27666e-05	0.138253
340467	3.27926e-05	0.138253
345383	3.32842e-05	0.138253
348039	3.35498e-05	0.138253
354960	3.42419e-05	0.138253
357301	3.4476e-05	0.138253
359588	3.47047e-05	0.138253
360049	3.47508e-05	0.138253
365847	3.53306e-05	0.138253
365850	3.53309e-05	0.138253
384793	3.72252e-05	0.138253
388327	3.75786e-05	0.138253
390531	3.7799e-05	0.138253
398007	3.85466e-05	0.138253
424189	4.11648e-05	0.138253
425030	4.12489e-05	0.138253
427632	4.15091e-05	0.138253
432627	4.20086e-05	0.138253
436377	4.23836e-05	0.138253
458107	4.45566e-05	0.138253
458113	4.45572e-05	0.138253
467044	4.54503e-05	0.138253
483053	4.70512e-05	0.138253
506164	4.93623e-05	0.138253
509002	4.96461e-05	0.138253
509311	4.9677e-05	0.138253
509557	4.97016e-05	0.138253
509715	4.97174e-05	0.138253
510633	4.98092e-05	0.138253
517582	5.05041e-05	0.138253
523152	5.10611e-05	0.138253
539986	5.27445e-05	0.138253
547275	5.34734e-05	0.138253
551054	5.38513e-05	0.138253
572335	5.59794e-05	0.138253
576653	5.64112e-05	0.138253
588348	5.75807e-05	0.138253
589049	5.76508e-05	0.138253
590077	5.77536e-05	0.138253
600898	6.02241e-05	0.138253
631763	8.8951e-05	0.138253
646966	9.96255e-05	0.138253
659477	0.000106683	0.138253
659779	0.000106834	0.138253
684734	0.000116144	0.138253
698303	0.000118605	0.138253
703395	0.00011921	0.138253
722095	0.000123769	0.138253
741686	0.000132056	0.138253
749114	0.000136197	0.138253
754519	0.000139564	0.138253
774831	0.000154813	0.138253
775234	0.000155156	0.138253
796483	0.000175605	0.138253
801866	0.000179342	0.138253
817254	0.000180881	0.138253
858040	0.000184959	0.138253
866239	0.000185779	0.138253
899232	0.000189078	0.138253
907056	0.000189861	0.138253
918992	0.000191054	0.138253
921414	0.000191297	0.138253
927242	0.000191879	0.138253
929564	0.000192112	0.138253
931596	0.000192315	0.138253
950581	0.000194213	0.138253
956467	0.000194802	0.138253
957771	0.000194932	0.138253
967125	0.000195868	0.138253
969675	0.000196123	0.138253
992514	0.000198407	0.138253
993118	0.000198467	0.138253
1011447	0.0002003	0.138253
1039140	0.000203069	0.138253
1042514	0.000203407	0.138253
1066921	0.000205847	0.138253
1073735	0.000206529	0.138253
1075865	0.000206742	0.138253
1100423	0.000209198	0.138253
1119163	0.000211072	0.138253
1126517	0.000211807	0.138253
1130544	0.00021221	0.138253
1132115	0.000212367	0.138253
1139254	0.000213081	0.138253
1143678	0.000213523	0.138253
1145447	0.0002137	0.138253
1171673	0.000216323	0.138253
1183397	0.000217495	0.138253
1200353	0.000219191	0.138253
1209017	0.000220057	0.138253
1247661	0.000223921	0.138253
1254796	0.000224635	0.138253
1255927	0.000224748	0.138253
1257013	0.000224857	0.138253
1269288	0.000226084	0.138253
1284829	0.000227638	0.138253
1291312	0.000228286	0.138253
1308340	0.000229989	0.138253
1331051	0.00023226	0.138253
1334210	0.000232576	0.138253
1334939	0.000232649	0.138253
1341172	0.000233272	0.138253
1351102	0.000234265	0.138253
1365827	0.000235738	0.138253
1397018	0.000238857	0.138253
1442137	0.000243369	0.138253
1450314	0.000244187	0.138253
1472751	0.00024643	0.138253
1473321	0.000246487	0.138253
1483919	0.000247547	0.138253
1499016	0.000249057	0.138253
1515489	0.000250704	0.138253
1525655	0.000251721	0.138253
1529944	0.00025215	0.138253
1552263	0.000254382	0.138253
1554558	0.000254611	0.138253
1584079	0.000257563	0.138253
1607628	0.000267844	0.138253
1610508	0.000270746	0.138253
1619221	0.000278983	0.138253
1635058	0.000292058	0.138253
1652481	0.000303524	0.138253
1663743	0.000309326	0.138253
1675195	0.000313892	0.138253
1737345	0.000330138	0.138253
1744719	0.000333913	0.138253
1750384	0.000337185	0.138253
1750876	0.000337483	0.138253
1761663	0.000344656	0.138253
1828867	0.000407081	0.138253
1860168	0.000427056	0.138253
1890635	0.000437504	0.138253
1896909	0.000438506	0.138253
1978976	0.000478204	0.138253
2011751	0.00052338	0.138253
2016411	0.000532222	0.138253
2017240	0.000533749	0.138253
2027714	0.000551735	0.138253
2029383	0.000554397	0.138253
2038328	0.00056767	0.138253
2089015	0.000610859	0.138253
2109099	0.000614967	0.138253
2116724	0.000617846	0.138253
2156524	0.00065294	0.138253
2236261	0.000732424	0.138253
2236948	0.000732493	0.138253
2258074	0.000734605	0.138253
2261680	0.000734966	0.138253
2283411	0.000737139	0.138253
2284426	0.00073724	0.138253
2286805	0.000737478	0.138253
2289631	0.000737761	0.138253
2309435	0.000770685	0.138253
2318245	0.000795771	0.138253
2363993	0.00088555	0.138253
2369598	0.000892019	0.138253
2389014	0.000906673	0.138253
2408405	0.000911575	0.138253
2416463	0.000915663	0.138253
2421124	0.000918955	0.138253
2424128	0.000921462	0.138253
2437332	0.000935923	0.138253
2438879	0.000937973	0.138253
2443060	0.00094392	0.138253
2459161	0.000972118	0.138253
2469219	0.000993848	0.138253
2489823	0.00104857	0.138253
2491527	0.0010537	0.138253
2532452	0.0010832	0.138253
2543799	0.00108433	0.138253
2544807	0.00108444	0.138253
2549876	0.00108494	0.138253
2561116	0.00108607	0.138253
2569324	0.00108689	0.138253
2571353	0.00108709	0.138253
2572445	0.0010872	0.138253
2580701	0.00108802	0.138253
2613197	0.00113141	0.138253
2627504	0.00116922	0.138253
2642788	0.00120229	0.138253
2650297	0.00121579	0.138253
2672751	0.00124553	0.138253
2675946	0.00124847	0.138253
2682143	0.00125321	0.138253
2699466	0.00125994	0.138253
2704992	0.00127114	0.138253
2716527	0.00129791	0.138253
2717912	0.00130123	0.138253
2744343	0.00136851	0.138253
2756432	0.00140185	0.138253
2766205	0.00142998	0.138253
2774364	0.00145426	0.138253
2780586	0.00147327	0.138253
2786944	0.00149314	0.138253
2796750	0.00152466	0.138253
2798174	0.00152933	0.138253
2799791	0.00153465	0.138253
2819373	0.00155833	0.138253
2830527	0.0015737	0.138253
2831567	0.0015752	0.138253
2851346	0.00160604	0.138253
2854094	0.00161066	0.138253
2861953	0.00162435	0.138253
2876488	0.00165146	0.138253
2881716	0.00166177	0.138253
2893901	0.00168699	0.138253
2915721	0.00170269	0.138253
2920165	0.00170394	0.138253
2926688	0.00170617	0.138253
2927600	0.00170651	0.138253
2927970	0.00170665	0.138253
2928300	0.00170678	0.138253
2929847	0.00170738	0.138253
2930794	0.00170777	0.138253
2932586	0.00170852	0.138253
2932771	0.0017086	0.138253
2936808	0.00171043	0.138253
2939150	0.00171156	0.138253
2952013	0.00171875	0.138253
2953162	0.00171947	0.138253
2965904	0.00172836	0.138253
2968155	0.0017301	0.138253
2990709	0.00175035	0.138253
2991250	0.0017509	0.138253
2993773	0.00175349	0.138253
3012740	0.00176115	0.138253
3014898	0.00176136	0.138253
3038404	0.00176371	0.138253
3051359	0.00176501	0.138253
3091592	0.00176903	0.138253
3101236	0.00177484	0.138253
3104740	0.00178604	0.138253
3112704	0.00181001	0.138253
3113882	0.00181339	0.138253
3134890	0.00186611	0.138253
3145928	0.00188819	0.138253
3149056	0.00189374	0.138253
3150084	0.0018955	0.138253
3150264	0.0018958	0.138253
3155562	0.00190428	0.138253
3165958	0.00191827	0.138253
3167073	0.00191957	0.138253
3168340	0.001921	0.138253
3172168	0.00192497	0.138253
3174982	0.00192761	0.138253
3191616	0.00193781	0.138253
3196811	0.00193923	0.138253
3197114	0.00193929	0.138253
3201004	0.00194857	0.138253
3213022	0.0020239	0.138253
3217043	0.00204809	0.138253
3232302	0.00213508	0.138253
3245807	0.0022059	0.138253
3246174	0.00220774	0.138253
3266763	0.00230417	0.138253
3267205	0.00230609	0.138253
3275989	0.002343	0.138253
3276761	0.00234613	0.138253
3285642	0.00238072	0.138253
3291061	0.00240058	0.138253
3293021	0.00240754	0.138253
3300034	0.00243114	0.138253
3300847	0.00243295	0.138253
3307291	0.00244829	0.138253
3309873	0.00245496	0.138253
3313151	0.00246385	0.138253
3327107	0.00250677	0.138253
3330702	0.00251917	0.138253
3335212	0.00253552	0.138253
3335507	0.00253662	0.138253
3336122	0.00253892	0.138253
3338730	0.00254887	0.138253
3344313	0.00257116	0.138253
3344771	0.00257305	0.138253
3346703	0.00258111	0.138253
3361659	0.00264902	0.138253
3364965	0.00266533	0.138253
3366429	0.0026727	0.138253
3366456	0.00267283	0.138253
3370457	0.00269344	0.138253
3373289	0.00270843	0.138253
3374158	0.00271311	0.138253
3376391	0.00272526	0.138253
3376752	0.00272724	0.138253
3379266	0.00274123	0.138253
3383855	0.00276745	0.138253
3391336	0.00281257	0.138253
3391780	0.00281529	0.138253
3392184	0.00281778	0.138253
3396738	0.00284633	0.138253
3399046	0.00286114	0.138253
3400038	0.00286723	0.138253
