position	position_morg	local_ancestry
22049	9.508e-07	0.266429
37317	2.4776e-06	0.266444
79153	6.6612e-06	0.266468
104362	9.1821e-06	0.266533
108273	9.5732e-06	0.266573
109021	9.648e-06	0.266579
160015	1.47474e-05	0.26658
167801	1.5526e-05	0.26666
172827	1.60286e-05	0.266672
213230	2.00689e-05	0.26668
287978	2.75437e-05	0.266743
292653	2.80112e-05	0.266861
293569	2.81028e-05	0.266868
306369	2.93828e-05	0.266869
315038	3.02497e-05	0.26689
325685	3.13144e-05	0.266903
330210	3.17669e-05	0.26692
333684	3.21143e-05	0.266927
340207	3.27666e-05	0.266933
340467	3.27926e-05	0.266943
345383	3.32842e-05	0.266943
348039	3.35498e-05	0.266951
354960	3.42419e-05	0.266955
357301	3.4476e-05	0.266966
359588	3.47047e-05	0.26697
360049	3.47508e-05	0.266973
365847	3.53306e-05	0.266974
365850	3.53309e-05	0.266983
384793	3.72252e-05	0.266983
388327	3.75786e-05	0.267013
390531	3.7799e-05	0.267019
398007	3.85466e-05	0.267022
424189	4.11648e-05	0.267034
425030	4.12489e-05	0.267075
427632	4.15091e-05	0.267077
432627	4.20086e-05	0.267081
436377	4.23836e-05	0.267089
458107	4.45566e-05	0.267094
458113	4.45572e-05	0.267129
467044	4.54503e-05	0.267129
483053	4.70512e-05	0.267143
506164	4.93623e-05	0.267168
509002	4.96461e-05	0.267205
509311	4.9677e-05	0.267209
509557	4.97016e-05	0.26721
509715	4.97174e-05	0.26721
510633	4.98092e-05	0.26721
517582	5.05041e-05	0.267212
523152	5.10611e-05	0.267223
539986	5.27445e-05	0.267232
547275	5.34734e-05	0.267258
551054	5.38513e-05	0.26727
572335	5.59794e-05	0.267276
576653	5.64112e-05	0.267309
588348	5.75807e-05	0.267316
589049	5.76508e-05	0.267335
590077	5.77536e-05	0.267336
600898	6.02241e-05	0.267337
631763	8.8951e-05	0.267377
646966	9.96255e-05	0.267834
659477	0.000106683	0.268004
659779	0.000106834	0.268117
684734	0.000116144	0.26812
698303	0.000118605	0.268269
703395	0.00011921	0.268309
722095	0.000123769	0.268318
741686	0.000132056	0.268392
749114	0.000136197	0.268525
754519	0.000139564	0.268592
774831	0.000154813	0.268647
775234	0.000155156	0.268893
796483	0.000175605	0.268899
801866	0.000179342	0.269232
817254	0.000180881	0.269293
858040	0.000184959	0.269318
866239	0.000185779	0.269384
899232	0.000189078	0.269398
907056	0.000189861	0.269452
918992	0.000191054	0.269464
921414	0.000191297	0.269484
927242	0.000191879	0.269488
929564	0.000192112	0.269497
931596	0.000192315	0.269501
950581	0.000194213	0.269505
956467	0.000194802	0.269536
957771	0.000194932	0.269545
967125	0.000195868	0.269547
969675	0.000196123	0.269563
992514	0.000198407	0.269567
993118	0.000198467	0.269604
1011447	0.0002003	0.269605
1039140	0.000203069	0.269635
1042514	0.000203407	0.269681
1066921	0.000205847	0.269686
1073735	0.000206529	0.269727
1075865	0.000206742	0.269738
1100423	0.000209198	0.269741
1119163	0.000211072	0.269782
1126517	0.000211807	0.269812
1130544	0.00021221	0.269824
1132115	0.000212367	0.269831
1139254	0.000213081	0.269834
1143678	0.000213523	0.269845
1145447	0.0002137	0.269853
1171673	0.000216323	0.269856
1183397	0.000217495	0.269899
1200353	0.000219191	0.269918
1209017	0.000220057	0.269946
1247661	0.000223921	0.26996
1254796	0.000224635	0.270024
1255927	0.000224748	0.270036
1257013	0.000224857	0.270038
1269288	0.000226084	0.270039
1284829	0.000227638	0.27006
1291312	0.000228286	0.270085
1308340	0.000229989	0.270096
1331051	0.00023226	0.270124
1334210	0.000232576	0.270162
1334939	0.000232649	0.270167
1341172	0.000233272	0.270168
1351102	0.000234265	0.270179
1365827	0.000235738	0.270195
1397018	0.000238857	0.270219
1442137	0.000243369	0.270271
1450314	0.000244187	0.270346
1472751	0.00024643	0.270359
1473321	0.000246487	0.270396
1483919	0.000247547	0.270397
1499016	0.000249057	0.270415
1515489	0.000250704	0.27044
1525655	0.000251721	0.270467
1529944	0.00025215	0.270484
1552263	0.000254382	0.270491
1554558	0.000254611	0.270529
1584079	0.000257563	0.270532
