position	position_morg	local_ancestry
22049	9.508e-07	0.313688
37317	2.4776e-06	0.313543
79153	6.6612e-06	0.308383
104362	9.1821e-06	0.313504
108273	9.5732e-06	0.312878
109021	9.648e-06	0.308091
160015	1.47474e-05	0.311587
167801	1.5526e-05	0.307721
172827	1.60286e-05	0.315865
213230	2.00689e-05	0.315621
287978	2.75437e-05	0.318087
292653	2.80112e-05	0.321334
293569	2.81028e-05	0.316559
306369	2.93828e-05	0.317602
315038	3.02497e-05	0.316263
325685	3.13144e-05	0.314399
330210	3.17669e-05	0.318132
333684	3.21143e-05	0.317669
340207	3.27666e-05	0.316221
340467	3.27926e-05	0.31946
345383	3.32842e-05	0.317859
348039	3.35498e-05	0.312995
354960	3.42419e-05	0.320217
357301	3.4476e-05	0.321109
359588	3.47047e-05	0.320847
360049	3.47508e-05	0.320839
365847	3.53306e-05	0.321516
365850	3.53309e-05	0.321214
384793	3.72252e-05	0.321042
388327	3.75786e-05	0.320287
390531	3.7799e-05	0.321726
398007	3.85466e-05	0.320813
424189	4.11648e-05	0.320405
425030	4.12489e-05	0.324209
427632	4.15091e-05	0.324115
432627	4.20086e-05	0.323519
436377	4.23836e-05	0.322887
458107	4.45566e-05	0.323228
458113	4.45572e-05	0.323406
467044	4.54503e-05	0.323047
483053	4.70512e-05	0.321871
506164	4.93623e-05	0.320677
509002	4.96461e-05	0.319912
509311	4.9677e-05	0.32013
509557	4.97016e-05	0.315777
509715	4.97174e-05	0.316406
510633	4.98092e-05	0.319203
517582	5.05041e-05	0.318559
523152	5.10611e-05	0.317983
539986	5.27445e-05	0.317649
547275	5.34734e-05	0.3189
551054	5.38513e-05	0.317303
572335	5.59794e-05	0.318897
576653	5.64112e-05	0.318899
588348	5.75807e-05	0.315291
589049	5.76508e-05	0.313079
590077	5.77536e-05	0.312087
600898	6.02241e-05	0.30929
631763	8.8951e-05	0.295381
646966	9.96255e-05	0.299223
659477	0.000106683	0.302133
659779	0.000106834	0.301563
684734	0.000116144	0.300674
698303	0.000118605	0.304676
703395	0.00011921	0.300192
722095	0.000123769	0.298654
741686	0.000132056	0.298915
749114	0.000136197	0.297593
754519	0.000139564	0.297743
774831	0.000154813	0.292888
775234	0.000155156	0.291437
796483	0.000175605	0.287767
801866	0.000179342	0.287681
817254	0.000180881	0.286963
858040	0.000184959	0.287021
866239	0.000185779	0.287215
899232	0.000189078	0.2869
907056	0.000189861	0.286944
918992	0.000191054	0.286738
921414	0.000191297	0.286786
927242	0.000191879	0.286266
929564	0.000192112	0.286938
931596	0.000192315	0.286702
950581	0.000194213	0.286512
956467	0.000194802	0.286474
957771	0.000194932	0.285769
967125	0.000195868	0.286648
969675	0.000196123	0.286132
992514	0.000198407	0.287884
993118	0.000198467	0.288507
1011447	0.0002003	0.287407
1039140	0.000203069	0.288603
1042514	0.000203407	0.287417
1066921	0.000205847	0.288985
1073735	0.000206529	0.288658
1075865	0.000206742	0.289711
1100423	0.000209198	0.289732
1119163	0.000211072	0.289704
1126517	0.000211807	0.290579
1130544	0.00021221	0.292769
1132115	0.000212367	0.291742
1139254	0.000213081	0.292251
1143678	0.000213523	0.292262
1145447	0.0002137	0.293562
1171673	0.000216323	0.294314
1183397	0.000217495	0.293913
1200353	0.000219191	0.293874
1209017	0.000220057	0.294376
1247661	0.000223921	0.299011
1254796	0.000224635	0.298687
1255927	0.000224748	0.292918
1257013	0.000224857	0.296981
1269288	0.000226084	0.299489
1284829	0.000227638	0.300355
1291312	0.000228286	0.297538
1308340	0.000229989	0.301275
1331051	0.00023226	0.302845
1334210	0.000232576	0.301326
1334939	0.000232649	0.304244
1341172	0.000233272	0.297273
1351102	0.000234265	0.302802
1365827	0.000235738	0.303829
1397018	0.000238857	0.304488
1442137	0.000243369	0.304494
1450314	0.000244187	0.304667
1472751	0.00024643	0.321583
1473321	0.000246487	0.321326
1483919	0.000247547	0.322745
1499016	0.000249057	0.321386
1515489	0.000250704	0.322745
1525655	0.000251721	0.322387
1529944	0.00025215	0.322149
1552263	0.000254382	0.326401
1554558	0.000254611	0.325732
1584079	0.000257563	0.325882
1607628	0.000267844	0.326511
1610508	0.000270746	0.327809
1619221	0.000278983	0.328639
1635058	0.000292058	0.329317
1652481	0.000303524	0.329191
1663743	0.000309326	0.33118
1675195	0.000313892	0.328372
1737345	0.000330138	0.331393
1744719	0.000333913	0.329104
1750384	0.000337185	0.329592
1750876	0.000337483	0.333824
1761663	0.000344656	0.33154
1828867	0.000407081	0.331391
1860168	0.000427056	0.331716
1890635	0.000437504	0.331563
1896909	0.000438506	0.331514
1978976	0.000478204	0.33009
2011751	0.00052338	0.327777
2016411	0.000532222	0.327513
2017240	0.000533749	0.327213
2027714	0.000551735	0.3259
2029383	0.000554397	0.325686
2038328	0.00056767	0.325815
2089015	0.000610859	0.323706
2109099	0.000614967	0.328904
2116724	0.000617846	0.323624
2156524	0.00065294	0.321297
2236261	0.000732424	0.326696
2236948	0.000732493	0.329155
2258074	0.000734605	0.327506
2261680	0.000734966	0.332725
2283411	0.000737139	0.327287
2284426	0.00073724	0.324603
2286805	0.000737478	0.325545
2289631	0.000737761	0.330183
2309435	0.000770685	0.334213
2318245	0.000795771	0.334373
2363993	0.00088555	0.33688
2369598	0.000892019	0.337246
2389014	0.000906673	0.335734
2408405	0.000911575	0.336404
2416463	0.000915663	0.337308
2421124	0.000918955	0.336242
2424128	0.000921462	0.338575
2437332	0.000935923	0.335808
2438879	0.000937973	0.335118
2443060	0.00094392	0.333377
2459161	0.000972118	0.334147
2469219	0.000993848	0.329422
2489823	0.00104857	0.330071
2491527	0.0010537	0.332178
2532452	0.0010832	0.330881
2543799	0.00108433	0.331623
2544807	0.00108444	0.329498
2549876	0.00108494	0.330796
2561116	0.00108607	0.329656
2569324	0.00108689	0.330897
2571353	0.00108709	0.330022
2572445	0.0010872	0.331495
2580701	0.00108802	0.330605
2613197	0.00113141	0.330008
2627504	0.00116922	0.329081
2642788	0.00120229	0.328152
2650297	0.00121579	0.339261
2672751	0.00124553	0.326361
2675946	0.00124847	0.324293
2682143	0.00125321	0.325361
2699466	0.00125994	0.326469
2704992	0.00127114	0.321833
2716527	0.00129791	0.324394
2717912	0.00130123	0.321459
2744343	0.00136851	0.322202
2756432	0.00140185	0.325965
2766205	0.00142998	0.320688
2774364	0.00145426	0.317719
2780586	0.00147327	0.319288
2786944	0.00149314	0.318708
2796750	0.00152466	0.314406
2798174	0.00152933	0.315532
2799791	0.00153465	0.314802
2819373	0.00155833	0.312334
2830527	0.0015737	0.313664
2831567	0.0015752	0.314731
2851346	0.00160604	0.315822
2854094	0.00161066	0.310997
2861953	0.00162435	0.314192
2876488	0.00165146	0.313338
2881716	0.00166177	0.309878
2893901	0.00168699	0.312379
2915721	0.00170269	0.31304
2920165	0.00170394	0.312283
2926688	0.00170617	0.313237
2927600	0.00170651	0.313172
2927970	0.00170665	0.313362
2928300	0.00170678	0.311149
2929847	0.00170738	0.313328
2930794	0.00170777	0.309884
2932586	0.00170852	0.312775
2932771	0.0017086	0.313124
2936808	0.00171043	0.311685
2939150	0.00171156	0.312839
2952013	0.00171875	0.312705
2953162	0.00171947	0.312796
2965904	0.00172836	0.313792
2968155	0.0017301	0.31248
2990709	0.00175035	0.311848
2991250	0.0017509	0.312727
