position	position_morg	local_ancestry
10100	0.000102	0.330425
15399	0.00020998	0.330426
21213	0.00033424	0.330427
25744	0.00044912	0.330428
30137	0.00055186	0.330429
35454	0.00066094	0.33043
40193	0.0007648	0.330431
45925	0.0008833	0.330431
50417	0.00099164	0.330432
56640	0.00112444	0.330433
60010	0.00122464	0.330434
66022	0.00134508	0.330435
70514	0.00145536	0.330436
76068	0.00157672	0.330437
80905	0.00169482	0.330438
85526	0.00180534	0.330439
90453	0.0019144	0.33044
95210	0.0020186	0.330441
101688	0.00215236	0.330442
106051	0.00227338	0.330443
110436	0.0023821	0.330444
115723	0.00249656	0.330444
120002	0.0025966	0.330445
125052	0.00269764	0.330446
130534	0.00280832	0.330447
136091	0.00293014	0.330448
140593	0.003042	0.330449
145814	0.00315828	0.33045
151124	0.00328076	0.330451
155653	0.00339382	0.330452
160842	0.00351066	0.330453
165352	0.0036177	0.330454
171132	0.00374034	0.330454
175452	0.00384938	0.330455
180579	0.00396096	0.330456
185094	0.00406284	0.330457
190530	0.00417344	0.330458
195084	0.00427512	0.330459
200763	0.00439038	0.33046
205381	0.004498	0.330461
210600	0.00461	0.330462
216404	0.00473808	0.330462
220745	0.00485298	0.330463
225200	0.00495698	0.330464
230514	0.00506726	0.330465
235204	0.00517134	0.330466
240831	0.00528796	0.330467
245570	0.00539936	0.330468
250355	0.00550646	0.330469
255178	0.00561002	0.33047
260569	0.0057214	0.330471
265270	0.0058268	0.330471
270891	0.00594462	0.330472
275714	0.0060589	0.330473
280487	0.00616864	0.330474
286174	0.00629212	0.330475
291247	0.00641706	0.330476
297486	0.00656678	0.330477
300790	0.00668258	0.330478
305230	0.00678718	0.330479
310146	0.0068901	0.33048
315541	0.00700092	0.330481
320140	0.00710372	0.330482
325623	0.00721618	0.330483
330685	0.00732988	0.330484
335358	0.00743704	0.330484
340009	0.00753722	0.330485
346109	0.0076594	0.330486
350695	0.0077733	0.330487
356209	0.00789748	0.330488
361276	0.008023	0.330489
365557	0.00813414	0.33049
370348	0.0082411	0.330491
376030	0.0083617	0.330492
381226	0.00848622	0.330493
385330	0.00859282	0.330494
390946	0.00871174	0.330495
395972	0.00883118	0.330496
400880	0.00894878	0.330497
405056	0.0090499	0.330498
410529	0.00916048	0.330499
415349	0.00926746	0.330499
420789	0.00938324	0.3305
425006	0.00948336	0.330501
430665	0.00959666	0.330502
435778	0.00971222	0.330503
440239	0.009817	0.330504
446030	0.0099376	0.330505
451202	0.0100616	0.330506
455817	0.010178	0.330507
460037	0.0102787	0.330508
465502	0.0103888	0.330509
471146	0.0105117	0.330509
475462	0.0106209	0.33051
480877	0.0107385	0.330511
485902	0.0108565	0.330512
490490	0.0109663	0.330513
495134	0.011069	0.330514
500768	0.0111843	0.330515
505350	0.0112913	0.330516
510820	0.0114077	0.330517
515050	0.0115087	0.330518
520581	0.0116204	0.330519
525392	0.0117282	0.33052
530463	0.0118375	0.33052
535257	0.0119426	0.330521
540753	0.0120577	0.330522
545496	0.0121676	0.330523
550207	0.0122717	0.330524
555876	0.0123892	0.330525
560350	0.0124962	0.330526
565286	0.012602	0.330527
570846	0.0127189	0.330528
575936	0.0128376	0.330529
580373	0.0129451	0.33053
585021	0.0130455	0.33053
590625	0.013158	0.330531
595046	0.0132589	0.330532
601251	0.0133839	0.330533
605260	0.0134891	0.330534
610797	0.0136051	0.330535
616030	0.0137257	0.330536
620920	0.0138441	0.330537
625397	0.013952	0.330538
630148	0.014055	0.330539
635667	0.0141683	0.33054
640242	0.0142731	0.330541
646682	0.0144068	0.330541
650979	0.0145264	0.330543
655351	0.0146334	0.330544
660371	0.0147408	0.330544
665854	0.0148579	0.330545
670076	0.0149594	0.330546
675943	0.0150783	0.330547
681305	0.0152044	0.330548
686085	0.0153261	0.330549
690423	0.0154345	0.33055
696939	0.0155733	0.330551
700526	0.0156838	0.330552
706333	0.0158105	0.330553
711953	0.0159495	0.330554
715475	0.016059	0.330555
720643	0.0161719	0.330556
725286	0.0162776	0.330557
731168	0.016401	0.330558
735008	0.0165011	0.330559
740807	0.0166173	0.33056
746428	0.0167458	0.330561
750083	0.0168475	0.330562
755861	0.0169647	0.330563
760951	0.0170837	0.330564
765778	0.0171993	0.330565
770383	0.017307	0.330566
775210	0.0174112	0.330567
780529	0.0175217	0.330567
785941	0.0176406	0.330568
790099	0.0177425	0.330569
796610	0.0178747	0.33057
801145	0.0179976	0.330571
805502	0.0181077	0.330572
810429	0.0182163	0.330573
815807	0.0183324	0.330574
820120	0.0184348	0.330575
826201	0.0185588	0.330576
830103	0.0186609	0.330577
835481	0.0187705	0.330578
840895	0.0188884	0.330579
845240	0.0189932	0.33058
850870	0.0191106	0.330581
855691	0.0192244	0.330582
860683	0.0193381	0.330583
865152	0.0194411	0.330584
870615	0.0195534	0.330584
875307	0.0196596	0.330585
880734	0.0197742	0.330586
886083	0.0198959	0.330587
890897	0.0200138	0.330588
895424	0.0201223	0.330589
901027	0.0202429	0.33059
905749	0.0203578	0.330591
910670	0.0204712	0.330592
915031	0.0205719	0.330593
921314	0.0206981	0.330594
925715	0.0208124	0.330595
930492	0.0209223	0.330596
935318	0.0210286	0.330597
940878	0.0211462	0.330598
945682	0.0212598	0.330599
950953	0.0213789	0.3306
955475	0.0214884	0.330601
960854	0.0216055	0.330602
965096	0.0217074	0.330603
970516	0.0218177	0.330603
976257	0.0219429	0.330604
980121	0.0220453	0.330605
985360	0.0221525	0.330606
990337	0.0222592	0.330607
995999	0.0223792	0.330608
1000020	0.0224796	0.330609
1005795	0.0225955	0.33061
1011621	0.0227279	0.330611
1015144	0.0228308	0.330612
1020710	0.022945	0.330613
1025333	0.0230517	0.330614
1030043	0.0231525	0.330615
1035288	0.0232583	0.330616
1040457	0.0233674	0.330616
1045194	0.0234713	0.330617
1050051	0.0235723	0.330618
1055660	0.0236855	0.330619
1060549	0.0237965	0.33062
1065967	0.0239158	0.330621
1070959	0.024035	0.330622
1075388	0.0241428	0.330623
1081466	0.0242721	0.330624
1085870	0.0243895	0.330625
1090206	0.0244936	0.330626
1095164	0.0245969	0.330627
1101560	0.0247281	0.330628
1105261	0.0248333	0.330629
1111295	0.0249592	0.33063
1116405	0.0250873	0.330631
1120265	0.0251926	0.330632
1125185	0.0252963	0.330633
1131265	0.0254216	0.330634
1135866	0.0255389	0.330635
1140234	0.0256436	0.330636
1145404	0.0257517	0.330637
1150415	0.02586	0.330638
1155266	0.0259653	0.330639
1160891	0.0260831	0.330639
1165265	0.0261884	0.33064
1171082	0.0263101	0.330641
1175638	0.0264228	0.330642
1181330	0.0265494	0.330643
1185541	0.0266603	0.330644
1190440	0.0267691	0.330645
1195731	0.0268837	0.330646
1200590	0.0269955	0.330647
1205920	0.0271139	0.330648
1211485	0.0272436	0.330649
1215115	0.0273459	0.33065
1220715	0.0274602	0.330651
1225358	0.0275673	0.330652
1230102	0.0276694	0.330653
1235480	0.027779	0.330654
1240274	0.0278845	0.330655
1245694	0.0279983	0.330656
1250584	0.02811	0.330657
1256278	0.0282356	0.330658
1261064	0.0283569	0.330659
1265411	0.0284651	0.33066
1270055	0.0285662	0.330661
1275747	0.0286811	0.330662
1280089	0.0287829	0.330663
1285748	0.0288979	0.330663
1291086	0.0290196	0.330664
1295520	0.02913	0.330665
1300025	0.0292305	0.330666
1305815	0.0293468	0.330667
1310135	0.0294495	0.330668
1315560	0.0295607	0.330669
1320081	0.0296623	0.33067
1325381	0.0297699	0.330671
1330948	0.0298889	0.330672
1335981	0.0300085	0.330673
1340329	0.0301151	0.330674
1345312	0.0302213	0.330675
1350184	0.030325	0.330676
1355193	0.0304289	0.330677
1360636	0.0305416	0.330677
1365047	0.0306425	0.330678
1370657	0.0307557	0.330679
1375108	0.0308578	0.33068
1380774	0.0309733	0.330681
1385326	0.0310798	0.330682
1390500	0.0311898	0.330683
1395704	0.0313039	0.330684
1400827	0.0314204	0.330685
1405228	0.031525	0.330686
1410919	0.0316434	0.330687
1415450	0.0317524	0.330688
1420188	0.0318561	0.330689
1426093	0.031978	0.33069
1430552	0.032089	0.330691
1435050	0.03219	0.330692
1440015	0.0322903	0.330693
1446417	0.0324187	0.330694
1450706	0.0325328	0.330695
1455047	0.0326337	0.330696
1460645	0.0327466	0.330696
1465182	0.0328503	0.330697
1470815	0.0329666	0.330698
1475601	0.0330786	0.330699
1480226	0.0331831	0.3307
1486614	0.0333154	0.330701
1490987	0.0334351	0.330702
1495294	0.033541	0.330703
1500545	0.0336519	0.330704
1505052	0.033753	0.330705
1510508	0.0338631	0.330706
1515335	0.0339698	0.330707
1520175	0.0340733	0.330708
1527487	0.0342231	0.330709
1530943	0.0343419	0.33071
1537846	0.0344988	0.330711
1540286	0.0346046	0.330713
1545496	0.0347145	0.330713
1550085	0.0348162	0.330714
1555316	0.0349225	0.330715
1560212	0.0350267	0.330716
1565052	0.0351278	0.330717
1570260	0.035233	0.330718
1575817	0.0353493	0.330719
1580150	0.0354523	0.33072
1585416	0.0355606	0.330721
1590634	0.0356733	0.330722
1595144	0.0357762	0.330723
1600037	0.0358769	0.330724
1606048	0.0359979	0.330725
1610783	0.0361136	0.330726
1615581	0.0362252	0.330727
1620547	0.0363361	0.330728
1625295	0.036442	0.330729
1630514	0.0365523	0.330729
1635975	0.0366718	0.33073
1640930	0.0367904	0.330731
1645644	0.0369033	0.330732
1650228	0.0370078	0.330733
1655266	0.0371132	0.330734
1660745	0.0372281	0.330735
1665523	0.0373385	0.330736
1670215	0.0374428	0.330737
1675656	0.0375559	0.330738
1681020	0.0376763	0.330739
1685869	0.0377937	0.33074
1690578	0.0379053	0.330741
1695049	0.0380063	0.330742
1700398	0.0381142	0.330743
1705736	0.0382289	0.330744
1710920	0.0383473	0.330745
1715299	0.0384533	0.330746
1720473	0.0385628	0.330747
1725126	0.0386653	0.330748
1730627	0.0387778	0.330749
1735403	0.0388859	0.33075
1740648	0.0389989	0.330751
1745242	0.0391037	0.330752
1750043	0.0392046	0.330753
1755541	0.0393154	0.330754
1761260	0.0394406	0.330755
1765634	0.0395533	0.330756
1770028	0.0396538	0.330757
1775593	0.0397657	0.330757
1780062	0.0398669	0.330758
1785411	0.0399751	0.330759
1790010	0.0400753	0.33076
1795771	0.0401908	0.330761
1800832	0.0403074	0.330762
1805312	0.0404136	0.330763
1810527	0.0405242	0.330764
1815054	0.0406253	0.330765
1820281	0.0407309	0.330766
1825180	0.0408345	0.330767
1830046	0.0409354	0.330768
1835874	0.0410529	0.330769
1840106	0.041155	0.33077
1845877	0.0412725	0.330771
1850087	0.0413743	0.330772
1856189	0.0414981	0.330773
1860452	0.0416071	0.330774
1865866	0.0417244	0.330775
1870749	0.0418394	0.330776
1875364	0.0419467	0.330777
1880764	0.042062	0.330778
1885093	0.0421638	0.330779
1890965	0.0422831	0.33078
1895139	0.0423859	0.330781
1900440	0.0424947	0.330782
1905944	0.0426136	0.330782
1910317	0.0427199	0.330784
1915662	0.0428332	0.330784
1920323	0.0429396	0.330785
1925829	0.0430562	0.330786
1930433	0.0431649	0.330787
1935395	0.0432728	0.330788
1940125	0.0433753	0.330789
1945531	0.0434859	0.33079
1950184	0.0435896	0.330791
1955901	0.0437076	0.330792
1960178	0.0438111	0.330793
1965220	0.0439155	0.330794
1970876	0.0440331	0.330795
1975149	0.044136	0.330796
1980749	0.044251	0.330797
1985365	0.0443583	0.330798
1990166	0.0444616	0.330799
1995125	0.0445641	0.3308
2000867	0.0446815	0.330801
2005106	0.0447836	0.330802
2010779	0.0448992	0.330803
2015549	0.0450102	0.330804
2020365	0.0451175	0.330805
2026048	0.0452384	0.330806
